original_name	extId	id	lat	lon	name
Delmenhorst	8000070	A=1@O=Delmenhorst@X=8629761@Y=53052789@U=80@L=8000070@B=1@p=1715799947@i=U×008013828@	53.052773	8.629626	Delmenhorst
Viersen	8000174	A=1@O=Viersen@X=6403897@Y=51254946@U=80@L=8000174@B=1@p=1715799947@i=U×008015122@	51.254955	6.403745	Viersen
Rheine	8000316	A=1@O=Rheine@X=7434259@Y=52276300@U=80@L=8000316@B=1@p=1715799947@i=U×008021067@	52.276337	7.434304	Rheine
Marburg	8000337	A=1@O=Marburg(Lahn)@X=8775018@Y=50819275@U=80@L=8000337@B=1@p=1715799947@i=U×008005387@	50.819275	8.775081	Marburg(Lahn)
Lüneburg	8000238	A=1@O=Lüneburg@X=10419891@Y=53249652@U=80@L=8000238@B=1@p=1715799947@i=U×008001173@	53.24974	10.419873	Lüneburg
Dorsten	8006709	A=1@O=Dorsten@X=6970496@Y=51658274@U=80@L=8006709@B=1@p=1715799947@i=U×008010253@	51.65825	6.97046	Dorsten
Troisdorf	8000135	A=1@O=Troisdorf@X=7150892@Y=50813926@U=80@L=8000135@B=1@p=1715799947@i=U×008015572@	50.81372	7.150712	Troisdorf
Wilhelmshaven	8006445	A=1@O=Wilhelmshaven@X=8114904@Y=53518798@U=80@L=8006445@B=1@p=1715799947@i=U×008021223@	53.51876	8.115677	Wilhelmshaven
Gladbeck	8000125	A=1@O=Gladbeck West@X=6976393@Y=51574926@U=80@L=8000125@B=1@p=1715799947@i=U×008010019@	51.57536	6.976825	Gladbeck West
Landshut	8000217	A=1@O=Landshut(Bay)Hbf@X=12135932@Y=48547494@U=80@L=8000217@B=1@p=1715799947@i=U×008026353@	48.547512	12.135878	Landshut(Bay)Hbf
Detmold	8001420	A=1@O=Detmold@X=8872857@Y=51940742@U=80@L=8001420@B=1@p=1715799947@i=U×008013460@	51.940617	8.87327	Detmold
Bayreuth	8000028	A=1@O=Bayreuth Hbf@X=11579985@Y=49949613@U=80@L=8000028@B=1@p=1715799947@i=U×008022249@	49.949604	11.579976	Bayreuth Hbf
Arnsberg	8004228	A=1@O=Arnsberg-Neheim-Hüs@X=7970070@Y=51438002@U=80@L=8004228@B=1@p=1715799947@i=U×008008201@	51.437984	7.970043	Arnsberg-Neheim-Hüs
Castrop-Rauxel	8001327	A=1@O=Castrop-Rauxel Hbf@X=7303978@Y=51573524@U=80@L=8001327@B=1@p=1715799947@i=U×008010036@	51.573685	7.304643	Castrop-Rauxel Hbf
Brandenburg an der Havel	737273	A=1@O=Hauptbahnhof, Brandenburg an der Havel@X=12565625@Y=52401493@U=80@L=737273@B=1@p=1715799947@	52.401493	12.565625	Hauptbahnhof, Brandenburg an der Havel
Aschaffenburg	8000010	A=1@O=Aschaffenburg Hbf@X=9143693@Y=49980554@U=80@L=8000010@B=1@p=1715799947@i=U×008022610@	49.98059	9.143854	Aschaffenburg Hbf
Bocholt	8000040	A=1@O=Bocholt@X=6620429@Y=51834121@U=80@L=8000040@B=1@p=1715799947@i=U×008010292@	51.833286	6.619755	Bocholt
Lüdenscheid	8003782	A=1@O=Lüdenscheid@X=7628714@Y=51220356@U=80@L=8003782@B=1@p=1715799947@i=U×008008378@	51.220768	7.629352	Lüdenscheid
Celle	8000064	A=1@O=Celle@X=10062471@Y=52620452@U=80@L=8000064@B=1@p=1715799947@i=U×008013632@	52.621017	10.062651	Celle
Kempten (Allgäu)	8000197	A=1@O=Kempten(Allgäu)Hbf@X=10317612@Y=47711749@U=80@L=8000197@B=1@p=1715799947@i=U×008002307@	47.71181	10.317675	Kempten(Allgäu)Hbf
Fulda	8000115	A=1@O=Fulda@X=9683980@Y=50554722@U=80@L=8000115@B=1@p=1715799947@i=U×008005637@	50.554794	9.684178	Fulda
Lippstadt	8000571	A=1@O=Lippstadt@X=8348785@Y=51670688@U=80@L=8000571@B=1@p=1715799947@i=U×008010367@	51.670715	8.348767	Lippstadt
Aalen	8000002	A=1@O=Aalen Hbf@X=10096270@Y=48841010@U=80@L=8000002@B=1@p=1715799947@i=U×008029549@	48.8411	10.09636	Aalen Hbf
Dinslaken	8001469	A=1@O=Dinslaken@X=6738026@Y=51567456@U=80@L=8001469@B=1@p=1715799947@i=U×008010269@	51.56751	6.73826	Dinslaken
